Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18009358869,"Apr 7, 2026, 6:06:56 AM",Morning Run,Run,"34 Training Load
-- from COROS",993,3.01,169.0,18,,,,activities/19110113296.fit.gz,,,993.0,981.0,3017.7,4.2,3.076,7.0,49.0,45.0,92.0,9.1,-1.4,,,83.0,79.0,169.0,153.0,,219.0,227.0,,,18.0,,,,,,,,,218.0,994.0,,,0.0,,1.0,2972.1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.039,0.0,,,,2654.0,0.0,,74.0,164.0,3.03,,,,,,,,,,,,""
17995000114,"Apr 6, 2026, 6:07:48 AM",Morning Run,Run,"Grundlage mit [strava://athletes/138451556/10]Ben Köchli 

95 Training Load
-- from COROS",3871,10.03,161.0,34,,,,activities/19095595828.fit.gz,,,3871.0,3792.0,10030.0,4.0,2.645,89.0,94.0,44.0,99.0,22.2,0.0,,,83.0,79.0,161.0,144.0,,199.0,782.0,,,34.0,,,,,,,,,197.0,3873.0,,,0.0,,1.0,10309.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.591,0.0,,,,9990.0,0.0,,235.0,148.0,2.719,,,0.0,0.0,,,,0.0,,,,""
17988529454,"Apr 5, 2026, 6:36:49 AM",Morning Hike,Hike,"",28223,21.85,152.0,38,,,,activities/19089048592.fit.gz,,,28223.0,17385.0,21858.5,3.7,1.257,456.0,481.0,103.0,422.0,42.1,0.0,,,,,152.0,97.0,,,1470.0,,,38.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.774,11057.5,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,media/F2B2E331-F9B8-403F-9596-7ACFCAA298F3.mp4|media/E65F4218-D38D-408B-8567-EEC3119AF3FB.jpg
17973481900,"Apr 4, 2026, 10:38:06 AM",Lunch Run,Run,"135 Training Load
-- from COROS",3330,8.56,174.0,75,,,,activities/19073826686.fit.gz,,,3330.0,3187.0,8561.7,3.8,2.686,113.0,112.0,48.0,158.0,23.5,0.0,,,96.0,78.0,174.0,160.0,,203.0,773.0,,,75.0,,,,,,,,,201.0,3331.0,,,0.0,,1.0,8964.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2.571,609.5,,,,8404.0,0.0,,211.0,151.0,2.813,,,0.0,0.0,,,,0.0,,,,media/34BBF801-0957-4FF1-B78C-7A9FD9C3A94E.mp4|media/D4CE8979-0CFF-47D4-B466-6CEE378AF962.jpg
17952122674,"Apr 2, 2026, 4:37:39 PM",Evening Run,Run,"21 Training Load
-- from COROS",213,0.57,176.0,5,,,,activities/19052291150.fit.gz,,,213.0,206.0,575.0,6.1,2.791,0.0,3.0,448.0,451.0,5.9,-0.3,,,92.0,77.0,176.0,160.0,,221.0,50.0,,,5.0,,,,,,,,,210.0,215.0,,,0.0,,1.0,578.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,0.0,,,,524.0,0.0,,14.0,158.0,2.809,,,,,,,,,,,,""
17952122759,"Apr 2, 2026, 3:47:30 PM",Afternoon Run,Run,"104 Training Load
-- from COROS",2786,8.01,171.0,61,,,,activities/19052291065.fit.gz,,,2786.0,2602.0,8010.0,4.5,3.078,34.0,38.0,435.0,467.0,10.0,0.0,,,84.0,79.0,171.0,158.0,,226.0,624.0,,,61.0,,,,,,,,,221.0,2789.0,,,0.0,,1.0,8129.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.875,163.0,,,,6876.0,0.0,,213.0,166.0,3.124,,,,,,,,,,,,""
17927399981,"Mar 31, 2026, 4:13:17 PM",Evening Run,Run,"80 Training Load
-- from COROS",2628,7.58,163.0,42,,,,activities/19027408515.fit.gz,,,2628.0,2562.0,7585.0,4.6,2.961,22.0,23.0,434.0,455.0,11.2,0.0,,,88.0,78.0,163.0,151.0,,217.0,572.0,,,42.0,,,,,,,,,216.0,2629.0,,,0.0,,1.0,7685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.886,655.5,,,,6806.0,0.0,,192.0,162.0,3.0,,,,,,,,,,,,""
17909711393,"Mar 30, 2026, 8:09:47 AM",Morning Run,Run,"122 Training Load
-- from COROS",3644,10.07,167.0,69,,,,activities/19009603581.fit.gz,,,3644.0,3584.0,10078.0,5.0,2.812,58.0,58.0,434.0,465.0,11.8,0.0,,,84.0,80.0,167.0,153.0,,209.0,814.0,,,69.0,,,,,,,,,208.0,3647.0,,,0.0,,1.0,10295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.766,510.0,,,,9656.0,0.0,,247.0,156.0,2.872,,,,,,,,,,,,""
17888946855,"Mar 28, 2026, 1:34:39 PM",Afternoon Run,Run,"29 Training Load
-- from COROS",935,2.40,167.0,14,,,,activities/18988565439.fit.gz,,,935.0,923.0,2404.0,3.3,2.605,24.0,5.0,438.0,462.0,31.6,0.8,,,81.0,77.0,167.0,152.0,,200.0,208.0,,,14.0,,,,,,,,,198.0,936.0,,,0.0,,1.0,2526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.571,1040.0,,,,2404.0,0.0,,57.0,149.0,2.737,,,,,,,,,,,,""
17888947161,"Mar 28, 2026, 12:35:45 PM",Afternoon Run,Run,"239 Training Load
-- from COROS",3032,11.00,185.0,154,,,,activities/18988565477.fit.gz,,,3032.0,3032.0,10999.0,8.792,3.628,19.0,17.0,422.0,438.0,10.0,0.0,,,85.0,81.0,185.0,179.0,,266.0,880.0,,,154.0,,,,,,,,,265.0,3033.0,,,0.0,,1.0,11097.9,,,,,,,,,,,,,,,,,,,,,,,,,,,3.628,2910.5,,,,8322.0,0.0,,334.0,199.0,3.66,,,,,,,,,,,,""
17888947021,"Mar 28, 2026, 11:43:56 AM",Lunch Run,Run,"Legste lauf in Vomero Plus bevor sie klaut worde sind 🫠🫠

98 Training Load
-- from COROS",2772,7.99,167.0,62,,,,activities/18988565440.fit.gz,,,2772.0,2741.0,7997.2,5.3,2.918,17.0,37.0,432.0,454.0,11.1,-0.2,,,84.0,80.0,167.0,156.0,,213.0,638.0,,,62.0,,,,,,,,,212.0,2774.0,,,0.0,,1.0,8054.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.885,326.5,,,,7374.0,0.0,,195.0,159.0,2.938,,,0.0,0.0,,,,0.0,,,,""
17867487410,"Mar 26, 2026, 4:22:09 PM",Afternoon Run,Run,"93 Training Load
-- from COROS",3041,7.80,164.0,46,,,,activities/18967050213.fit.gz,,,3041.0,2962.0,7806.0,3.4,2.635,0.0,0.0,0.0,0.0,0.0,0.0,,,83.0,81.0,164.0,150.0,,,511.0,,,46.0,,,,,,,,,,,,,0.0,,1.0,7806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.567,0.0,,,,8024.0,0.0,,,,,,,,,,,,,,,,""
17844829859,"Mar 24, 2026, 6:31:53 PM",Evening Weight Training,Weight Training,"",3663,0,150.0,8,,,,activities/18944297104.fit.gz,,,3663.0,3663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,150.0,100.0,,,227.0,,,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17837751039,"Mar 24, 2026, 9:25:25 AM",Morning Run,Run,"7 Training Load
-- from COROS",269,0.73,153.0,3,,,,activities/18937195528.fit.gz,,,269.0,265.0,737.2,3.3,2.782,0.0,0.0,425.0,425.0,0.0,0.0,,,81.0,79.0,153.0,148.0,,199.0,57.0,,,3.0,,,,,,,,,190.0,270.0,,,0.0,,1.0,737.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.741,0.0,,,,716.0,0.0,,15.0,143.0,2.782,,,,,,,,,,,,""
